,8l-gr-_Cell0-0,8l-gr-_Cell0-1,8l-gr-_Cell0-2,8l-gr-_Cell0-3,8l-gr-_Cell1-0,8l-gr-_Cell1-1,8l-gr-_Cell1-2,8l-gr-_Cell1-3,8l-gr-_Cell2-0,8l-gr-_Cell2-1,8l-gr-_Cell2-2,8l-gr-_Cell2-3,8l-gr-_Cell3-0,8l-gr-_Cell3-1,8l-gr-_Cell3-2,8l-gr-_Cell3-3
X,487.0,499.0,493.0,488.0,351.0,362.0,366.0,369.0,182.0,195.0,188.0,189.0,154.0,158.0,157.0,154.0
Y,137.0,139.0,129.0,140.0,133.0,143.0,138.0,152.0,194.0,198.0,195.0,206.0,220.0,223.0,213.0,222.0
Size,471.0,296.0,157.0,228.0,501.0,417.5,395.5,333.0,430.0,351.0,326.0,263.0,454.5,307.5,294.0,366.5
Mean_Gr,0.9453125,0.4938650306748466,1.9946236559139785,1.8294573643410852,0.7627737226277372,0.7554112554112554,0.8401826484018264,1.476063829787234,0.9106382978723404,0.21818181818181817,1.2681564245810055,1.8,0.969939879759519,0.35294117647058826,1.8982035928143712,1.8078817733990147
Mean_Rd,5.11328125,4.883435582822086,0.7473118279569892,0.562015503875969,3.9744525547445257,6.352813852813853,8.732876712328768,5.462765957446808,3.9106382978723406,5.4831168831168835,5.804469273743017,0.864406779661017,3.2925851703406814,3.4823529411764707,0.8892215568862275,0.7339901477832512
Sum_Gr,484.0,161.0,371.0,472.0,418.0,349.0,368.0,555.0,428.0,84.0,454.0,531.0,484.0,120.0,634.0,734.0
Sum_Rd,2618.0,1592.0,139.0,145.0,2178.0,2935.0,3825.0,2054.0,1838.0,2111.0,2078.0,255.0,1643.0,1184.0,297.0,298.0
TP,0.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0
IMAGE_Path,8l-gr-,8l-gr-,8l-gr-,8l-gr-,8l-gr-,8l-gr-,8l-gr-,8l-gr-,8l-gr-,8l-gr-,8l-gr-,8l-gr-,8l-gr-,8l-gr-,8l-gr-,8l-gr-
